Index_x,CardNo,PeoNo,Date,Money,FundMoney,Surplus,CardCount,Type,Dept,year,month,weekday,day,hour,minute,Index_y,Sex,Major,AccessCardNo
116929099,180751,2018751,2019-04-05 16:54:00,2.0,0.0,100.7,695,消费,红太阳超市,2019,4,5,5,16,54,751,男,18连锁经营,19848250
116929100,180751,2018751,2019-04-05 16:54:00,2.0,0.0,98.7,696,消费,红太阳超市,2019,4,5,5,16,54,751,男,18连锁经营,19848250
116929101,180751,2018751,2019-04-05 16:54:00,2.0,0.0,96.7,697,消费,红太阳超市,2019,4,5,5,16,54,751,男,18连锁经营,19848250
116929102,180751,2018751,2019-04-05 16:56:00,4.0,0.0,92.7,698,消费,红太阳超市,2019,4,5,5,16,56,751,男,18连锁经营,19848250
116934028,180751,2018751,2019-04-01 18:26:00,4.0,0.0,14.4,689,消费,第二食堂,2019,4,1,1,18,26,751,男,18连锁经营,19848250
116934306,180751,2018751,2019-04-07 18:56:00,5.0,0.0,49.2,718,消费,第二食堂,2019,4,7,7,18,56,751,男,18连锁经营,19848250
116934550,180751,2018751,2019-04-03 07:37:00,1.5,0.0,47.7,719,消费,第二食堂,2019,4,3,3,7,37,751,男,18连锁经营,19848250
116936271,180751,2018751,2019-04-01 18:24:00,3.5,0.0,19.9,687,消费,第二食堂,2019,4,1,1,18,24,751,男,18连锁经营,19848250
116941181,180751,2018751,2019-04-01 07:33:00,0.6,0.0,32.6,683,消费,第二食堂,2019,4,1,1,7,33,751,男,18连锁经营,19848250
116941182,180751,2018751,2019-04-01 07:33:00,0.6,0.0,32.0,684,消费,第二食堂,2019,4,1,1,7,33,751,男,18连锁经营,19848250
116943106,180751,2018751,2019-04-01 18:24:00,0.6,0.0,23.4,686,消费,第二食堂,2019,4,1,1,18,24,751,男,18连锁经营,19848250
116944763,180751,2018751,2019-04-07 18:54:00,0.4,0.0,57.8,715,消费,第二食堂,2019,4,7,7,18,54,751,男,18连锁经营,19848250
116944764,180751,2018751,2019-04-07 18:54:00,0.6,0.0,57.2,716,消费,第二食堂,2019,4,7,7,18,54,751,男,18连锁经营,19848250
116954692,180751,2018751,2019-04-01 07:31:00,1.2,0.0,34.7,681,消费,第二食堂,2019,4,1,1,7,31,751,男,18连锁经营,19848250
116957690,180751,2018751,2019-04-01 18:25:00,1.5,0.0,18.4,688,消费,第二食堂,2019,4,1,1,18,25,751,男,18连锁经营,19848250
116958110,180751,2018751,2019-04-07 18:55:00,3.0,0.0,54.2,717,消费,第二食堂,2019,4,7,7,18,55,751,男,18连锁经营,19848250
116964991,180751,2018751,2019-04-01 11:56:00,8.0,0.0,24.0,685,消费,第四食堂,2019,4,1,1,11,56,751,男,18连锁经营,19848250
116970215,180751,2018751,2019-04-05 09:54:00,4.0,0.0,10.4,690,消费,第一食堂,2019,4,5,5,9,54,751,男,18连锁经营,19848250
116971037,180751,2018751,2019-04-05 11:58:00,6.5,0.0,3.3,692,消费,第一食堂,2019,4,5,5,11,58,751,男,18连锁经营,19848250
116971797,180751,2018751,2019-04-07 19:41:00,3.5,0.0,74.4,707,消费,第一食堂,2019,4,7,7,19,41,751,男,18连锁经营,19848250
116971802,180751,2018751,2019-04-07 19:43:00,4.0,0.0,61.2,713,消费,第一食堂,2019,4,7,7,19,43,751,男,18连锁经营,19848250
116971896,180751,2018751,2019-04-03 13:02:00,4.5,0.0,39.0,723,消费,第一食堂,2019,4,3,3,13,2,751,男,18连锁经营,19848250
116972701,180751,2018751,2019-04-01 07:32:00,1.5,0.0,33.2,682,消费,第一食堂,2019,4,1,1,7,32,751,男,18连锁经营,19848250
116974407,180751,2018751,2019-04-07 12:52:00,1.5,0.0,87.0,703,消费,第一食堂,2019,4,7,7,12,52,751,男,18连锁经营,19848250
116974588,180751,2018751,2019-04-07 19:42:00,2.0,0.0,71.8,709,消费,第一食堂,2019,4,7,7,19,42,751,男,18连锁经营,19848250
116974750,180751,2018751,2019-04-03 13:02:00,1.5,0.0,43.5,722,消费,第一食堂,2019,4,3,3,13,2,751,男,18连锁经营,19848250
116976044,180751,2018751,2019-04-07 10:39:00,2.4,0.0,90.3,699,消费,第一食堂,2019,4,7,7,10,39,751,男,18连锁经营,19848250
116976045,180751,2018751,2019-04-07 10:39:00,0.3,0.0,90.0,700,消费,第一食堂,2019,4,7,7,10,39,751,男,18连锁经营,19848250
116976123,180751,2018751,2019-04-07 12:52:00,6.0,0.0,81.0,704,消费,第一食堂,2019,4,7,7,12,52,751,男,18连锁经营,19848250
116978379,180751,2018751,2019-04-05 12:02:00,0.6,0.0,2.7,693,消费,第一食堂,2019,4,5,5,12,2,751,男,18连锁经营,19848250
116979789,180751,2018751,2019-04-07 19:44:00,3.0,0.0,58.2,714,消费,第一食堂,2019,4,7,7,19,44,751,男,18连锁经营,19848250
116979810,180751,2018751,2019-04-03 08:38:00,2.1,0.0,45.6,720,消费,第一食堂,2019,4,3,3,8,38,751,男,18连锁经营,19848250
116980837,180751,2018751,2019-04-07 10:40:00,0.9,0.0,89.1,701,消费,第一食堂,2019,4,7,7,10,40,751,男,18连锁经营,19848250
116980939,180751,2018751,2019-04-07 19:41:00,2.5,0.0,77.9,706,消费,第一食堂,2019,4,7,7,19,41,751,男,18连锁经营,19848250
116980940,180751,2018751,2019-04-07 19:42:00,4.0,0.0,67.8,710,消费,第一食堂,2019,4,7,7,19,42,751,男,18连锁经营,19848250
116980941,180751,2018751,2019-04-07 19:42:00,2.0,0.0,65.8,711,消费,第一食堂,2019,4,7,7,19,42,751,男,18连锁经营,19848250
116982613,180751,2018751,2019-04-05 11:58:00,0.6,0.0,9.8,691,消费,第一食堂,2019,4,5,5,11,58,751,男,18连锁经营,19848250
116984306,180751,2018751,2019-04-07 12:51:00,0.6,0.0,88.5,702,消费,第一食堂,2019,4,7,7,12,51,751,男,18连锁经营,19848250
116984600,180751,2018751,2019-04-07 19:40:00,0.6,0.0,80.4,705,消费,第一食堂,2019,4,7,7,19,40,751,男,18连锁经营,19848250
116984605,180751,2018751,2019-04-07 19:42:00,0.6,0.0,73.8,708,消费,第一食堂,2019,4,7,7,19,42,751,男,18连锁经营,19848250
116984609,180751,2018751,2019-04-07 19:43:00,0.6,0.0,65.2,712,消费,第一食堂,2019,4,7,7,19,43,751,男,18连锁经营,19848250
116984804,180751,2018751,2019-04-03 13:01:00,0.6,0.0,45.0,721,消费,第一食堂,2019,4,3,3,13,1,751,男,18连锁经营,19848250
117414018,180751,2018751,2019-04-26 09:34:00,2.0,0.0,32.3,816,消费,第二食堂,2019,4,5,26,9,34,751,男,18连锁经营,19848250
117430348,180751,2018751,2019-04-25 10:44:00,8.0,0.0,41.3,814,消费,第四食堂,2019,4,4,25,10,44,751,男,18连锁经营,19848250
117430349,180751,2018751,2019-04-25 10:44:00,7.0,0.0,34.3,815,消费,第四食堂,2019,4,4,25,10,44,751,男,18连锁经营,19848250
117431582,180751,2018751,2019-04-24 18:49:00,10.0,0.0,53.8,811,消费,第四食堂,2019,4,3,24,18,49,751,男,18连锁经营,19848250
117434810,180751,2018751,2019-04-25 07:24:00,1.5,0.0,52.3,812,消费,第一食堂,2019,4,4,25,7,24,751,男,18连锁经营,19848250
117070612,180751,2018751,2019-04-30 11:53:00,18.0,0.0,43.3,739,消费,第四食堂,2019,4,2,30,11,53,751,男,18连锁经营,19848250
117070674,180751,2018751,2019-04-30 19:05:00,9.0,0.0,34.3,740,消费,第四食堂,2019,4,2,30,19,5,751,男,18连锁经营,19848250
117071357,180751,2018751,2019-04-02 18:10:00,9.0,0.0,72.3,736,消费,第四食堂,2019,4,2,2,18,10,751,男,18连锁经营,19848250
117073671,180751,2018751,2019-04-30 09:15:00,7.0,0.0,61.3,738,消费,第一食堂,2019,4,2,30,9,15,751,男,18连锁经营,19848250
117075956,180751,2018751,2019-04-02 22:10:00,4.0,0.0,68.3,737,消费,第一食堂,2019,4,2,2,22,10,751,男,18连锁经营,19848250
117076488,180751,2018751,2019-04-08 07:43:00,2.5,0.0,31.8,741,消费,第一食堂,2019,4,1,8,7,43,751,男,18连锁经营,19848250
117451207,180751,2018751,2019-04-27 11:35:00,3.0,0.0,28.1,819,消费,第二食堂,2019,4,6,27,11,35,751,男,18连锁经营,19848250
117451208,180751,2018751,2019-04-27 11:35:00,0.5,0.0,27.6,820,消费,第二食堂,2019,4,6,27,11,35,751,男,18连锁经营,19848250
117453569,180751,2018751,2019-04-27 11:35:00,3.0,0.0,24.6,821,消费,第二食堂,2019,4,6,27,11,35,751,男,18连锁经营,19848250
117463324,180751,2018751,2019-04-27 12:00:00,8.5,0.0,16.1,822,消费,第二食堂,2019,4,6,27,12,0,751,男,18连锁经营,19848250
117495158,180751,2018751,2019-04-27 11:34:00,0.6,0.0,31.1,818,消费,第二食堂,2019,4,6,27,11,34,751,男,18连锁经营,19848250
117099265,180751,2018751,2019-04-09 07:26:00,0.6,0.0,31.2,742,消费,第二食堂,2019,4,2,9,7,26,751,男,18连锁经营,19848250
117099266,180751,2018751,2019-04-09 07:26:00,0.6,0.0,30.6,743,消费,第二食堂,2019,4,2,9,7,26,751,男,18连锁经营,19848250
117113087,180751,2018751,2019-04-09 16:43:00,7.0,0.0,14.6,746,消费,第四食堂,2019,4,2,9,16,43,751,男,18连锁经营,19848250
117114386,180751,2018751,2019-04-09 16:42:00,7.0,0.0,21.6,745,消费,第四食堂,2019,4,2,9,16,42,751,男,18连锁经营,19848250
117121050,180751,2018751,2019-04-09 07:27:00,2.0,0.0,28.6,744,消费,第一食堂,2019,4,2,9,7,27,751,男,18连锁经营,19848250
117310821,180751,2018751,2019-04-22 07:26:00,1.5,0.0,136.1,797,消费,第二食堂,2019,4,1,22,7,26,751,男,18连锁经营,19848250
117324282,180751,2018751,2019-04-20 10:18:00,3.6,0.0,186.1,789,消费,第二食堂,2019,4,6,20,10,18,751,男,18连锁经营,19848250
